epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,517.999,1.77365,1.79654,1.46078,0.30921,0.29238,0.22157,0.08293,2.02495,2.35273,1.59739,0.00332572,0.00332572,0.0700685
2,1036.96,1.80669,1.94274,1.53033,0.36362,0.42052,0.33908,0.13925,1.96673,1.95806,1.46861,0.00659313,0.00659313,0.0400026
3,1556.33,1.77296,1.86292,1.50398,0.31029,0.28319,0.19358,0.05555,2.65438,2.29741,1.74905,0.00979454,0.00979454,0.00987064
4,2073.85,1.71298,1.79871,1.47805,0.37095,0.36304,0.27866,0.08931,2.30009,2.06028,1.55543,0.009703,0.009703,0.009703
5,2594.9,1.67432,1.71541,1.43835,0.40214,0.52334,0.43928,0.18483,1.77587,1.76298,1.36006,0.009604,0.009604,0.009604
6,3115.02,1.63827,1.67786,1.42844,0.46813,0.50348,0.44771,0.16569,1.93782,1.73895,1.39745,0.009505,0.009505,0.009505
7,3635.56,1.62778,1.63664,1.42172,0.47541,0.51592,0.46722,0.20701,1.72412,1.67175,1.33883,0.009406,0.009406,0.009406
8,4156.15,1.59232,1.58645,1.39589,0.56174,0.54692,0.55075,0.24341,1.7983,1.50667,1.32666,0.009307,0.009307,0.009307
9,4676.89,1.58135,1.53195,1.38412,0.53668,0.54082,0.52806,0.22436,1.91374,1.57543,1.36458,0.009208,0.009208,0.009208
10,5196.98,1.5585,1.49581,1.37586,0.56064,0.54469,0.53239,0.20533,1.91102,1.49174,1.36572,0.009109,0.009109,0.009109
11,5715.45,1.54772,1.48774,1.3709,0.57935,0.5816,0.56961,0.24975,1.77651,1.49534,1.33006,0.00901,0.00901,0.00901
12,6233.12,1.5314,1.46546,1.35677,0.57133,0.58002,0.57571,0.27003,1.6688,1.43492,1.28297,0.008911,0.008911,0.008911
13,6753.2,1.52594,1.45609,1.34863,0.59813,0.56682,0.56865,0.24529,1.84183,1.49332,1.32109,0.008812,0.008812,0.008812
14,7273.67,1.51069,1.43057,1.34439,0.58769,0.60271,0.59257,0.25724,1.77789,1.4185,1.31704,0.008713,0.008713,0.008713
15,7794.07,1.49428,1.40433,1.33426,0.52504,0.62156,0.58482,0.23508,1.88714,1.52445,1.34809,0.008614,0.008614,0.008614
