epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.831,2.20501,2.62445,1.72875,0.30624,0.31378,0.09478,0.03871,1.95613,4.34729,1.67442,0.00332444,0.00332444,0.07008
2,888.628,1.97895,2.34115,1.56695,0.23678,0.30271,0.19447,0.08165,1.81673,2.43045,1.53423,0.00659187,0.00659187,0.0400141
3,1300.32,1.90052,2.25351,1.51859,0.44069,0.29505,0.23059,0.09699,1.881,2.2607,1.54754,0.00979329,0.00979329,0.00988218
4,1708.1,1.86605,2.17954,1.49999,0.52422,0.26831,0.27468,0.11955,1.72457,2.23617,1.46445,0.009703,0.009703,0.009703
5,2143.42,1.82329,2.078,1.46294,0.3011,0.37447,0.28607,0.1306,1.70066,2.04176,1.42178,0.009604,0.009604,0.009604
6,2543.51,1.75857,1.97889,1.41277,0.32548,0.37081,0.29541,0.13384,1.64107,2.01865,1.35708,0.009505,0.009505,0.009505
7,2943.33,1.76256,1.97569,1.40947,0.35602,0.41631,0.34806,0.16363,1.64894,1.84298,1.34315,0.009406,0.009406,0.009406
8,3343.32,1.72171,1.90386,1.37631,0.37257,0.40965,0.36482,0.1854,1.53341,1.82808,1.32228,0.009307,0.009307,0.009307
9,3743.65,1.67252,1.84244,1.35643,0.39541,0.42164,0.37255,0.18122,1.61418,1.8431,1.32231,0.009208,0.009208,0.009208
10,4170.29,1.66558,1.8149,1.34724,0.37612,0.4635,0.39577,0.19472,1.57985,1.7739,1.34296,0.009109,0.009109,0.009109
11,4751.82,1.67509,1.76725,1.33827,0.40124,0.45147,0.39856,0.20036,1.49528,1.70089,1.26759,0.00901,0.00901,0.00901
12,5252.8,1.63898,1.7348,1.3233,0.46325,0.46267,0.44936,0.23469,1.49558,1.60818,1.28333,0.008911,0.008911,0.008911
13,5676.4,1.62027,1.72378,1.31584,0.41351,0.51755,0.4457,0.23017,1.46819,1.59876,1.27565,0.008812,0.008812,0.008812
14,6076.35,1.61688,1.71164,1.32519,0.41671,0.48883,0.41381,0.22348,1.44989,1.64362,1.26652,0.008713,0.008713,0.008713
15,6474.2,1.59171,1.66411,1.30463,0.47964,0.49972,0.45946,0.2439,1.48229,1.6244,1.25109,0.008614,0.008614,0.008614
16,6873.52,1.58555,1.62405,1.29081,0.49184,0.53347,0.50901,0.27743,1.43964,1.48857,1.24933,0.008515,0.008515,0.008515
17,7273.31,1.55681,1.57767,1.28794,0.49062,0.53246,0.49974,0.27156,1.43946,1.48943,1.24394,0.008416,0.008416,0.008416
18,7670.72,1.56465,1.57577,1.27984,0.48378,0.54308,0.51209,0.28132,1.42436,1.45725,1.2408,0.008317,0.008317,0.008317
19,8071.05,1.58221,1.57461,1.29734,0.49311,0.54447,0.51895,0.28578,1.42014,1.43159,1.23526,0.008218,0.008218,0.008218
20,8475.9,1.56612,1.55953,1.2795,0.50308,0.53021,0.5157,0.28547,1.41285,1.48222,1.24019,0.008119,0.008119,0.008119
21,8875.15,1.55395,1.56647,1.28544,0.51319,0.5391,0.51113,0.27047,1.47218,1.46206,1.25848,0.00802,0.00802,0.00802
22,9273.55,1.53675,1.51748,1.26305,0.52979,0.56805,0.55518,0.31094,1.41735,1.37396,1.23563,0.007921,0.007921,0.007921
23,9673.56,1.51884,1.4811,1.27018,0.5665,0.56233,0.5531,0.30745,1.39574,1.41056,1.21846,0.007822,0.007822,0.007822
24,10071.1,1.53903,1.49185,1.2654,0.54971,0.59173,0.56262,0.31261,1.40541,1.33415,1.2258,0.007723,0.007723,0.007723
25,10476,1.53913,1.46339,1.27098,0.57376,0.57544,0.58061,0.32189,1.40501,1.33382,1.23031,0.007624,0.007624,0.007624
26,10875.2,1.51474,1.46043,1.26075,0.5707,0.58995,0.5954,0.33743,1.39011,1.31597,1.21,0.007525,0.007525,0.007525
